 -179.588	, BV = 	-0.80383
 -180.017	, BV = 	-0.822185
 -180.442	, BV = 	-0.839621
 -180.864	, BV = 	-0.856243
 -181.282	, BV = 	-0.872154
 -181.695	, BV = 	-0.887459
 -182.105	, BV = 	-0.902263
 -182.511	, BV = 	-0.916669
 -182.913	, BV = 	-0.930784
 -183.311	, BV = 	-0.94471
 -183.704	, BV = 	-0.958552
 -184.093	, BV = 	-0.972386
 -184.478	, BV = 	-0.986219
 -184.859	, BV = 	-1.00005
 -185.235	, BV = 	-1.01389
 -185.606	, BV = 	-1.02772
 -185.973	, BV = 	-1.04155
 -186.336	, BV = 	-1.05539
 -186.693	, BV = 	-1.06922
 -187.046	, BV = 	-1.08305
 -187.394	, BV = 	-1.09689
 -187.737	, BV = 	-1.11072
 -188.076	, BV = 	-1.12455
 -188.409	, BV = 	-1.13839
 -188.737	, BV = 	-1.15222
 -189.06	, BV = 	-1.16606
 -189.378	, BV = 	-1.17989
 -189.691	, BV = 	-1.19372
 -189.998	, BV = 	-1.20756
 -190.3	, BV = 	-1.22139
 -190.597	, BV = 	-1.23522
 -190.888	, BV = 	-1.24906
 -191.173	, BV = 	-1.26289
 -191.453	, BV = 	-1.27672
 -191.728	, BV = 	-1.29056
 -191.996	, BV = 	-1.30439
 -192.259	, BV = 	-1.31822
 -192.516	, BV = 	-1.33206
 -192.767	, BV = 	-1.34589
 -193.011	, BV = 	-1.35973
 -193.25	, BV = 	-1.37356
 -193.483	, BV = 	-1.38739
 -193.71	, BV = 	-1.40123
 -193.93	, BV = 	-1.41506
 -194.144	, BV = 	-1.42889
 -194.352	, BV = 	-1.44273
 -194.553	, BV = 	-1.45656
 -194.748	, BV = 	-1.47039
 -194.937	, BV = 	-1.48423
 -195.118	, BV = 	-1.49806
 -195.294	, BV = 	-1.51189
 -195.462	, BV = 	-1.52573
 -195.623	, BV = 	-1.53956
 -195.778	, BV = 	-1.5534
 -195.926	, BV = 	-1.56723
 -196.067	, BV = 	-1.58106
 -196.201	, BV = 	-1.5949
 -196.328	, BV = 	-1.60873
 -196.447	, BV = 	-1.62256
 -196.56	, BV = 	-1.6364
 -196.665	, BV = 	-1.65023
 -196.762	, BV = 	-1.66406
 -196.853	, BV = 	-1.6779
 -196.936	, BV = 	-1.69173
 -197.011	, BV = 	-1.70556
 -197.079	, BV = 	-1.7194
 -197.139	, BV = 	-1.73323
 -197.192	, BV = 	-1.74707
 -197.237	, BV = 	-1.7609
